Timestamp, RangeNetUI, Version
1457459041.116, RangeNetUI, 2.0.0.0
Timestamp, RcmGetStatusInfoConfirm, MessageID, PackageID, RcmVersion, UwbKernelVersion, FpgaVersion, SerialNumber, BoardType, PulserConfig, BITResults, Temperature(degC), Status
1457459041.116, RcmGetStatusInfoConfirm, 0, 160315-rc2, 2.0.0, 2.6.2, [2014.11.13] Rev 1A, 11500041, P412 Rev C, FCC, 0, 31, 0
Timestamp, RcmConfig, NodeId, PulseIntegrationIndex, AntennaMode, AntennaToggleFlag, CodeChannel, AntennaDelayA, AntennaDelayB, ScanInfo, DisableCRERanges, TransmitGain, ELR
1457459041.116, RcmConfig, 150, 8, 0, False, 0, 0, 0, 0, False, 63, False
Timestamp, RnGetConfigConfirm, MessageId, MaxNeighborAgeMs, AutosendUpdateIntervalMs, AutosendType, Flags, DefaultIf, DefaultIfAddr1, DefaultIfAddr2, EmbeddedTimestamp, Status
1457459041.116, RnGetConfigConfirm, 12, 10000, 300, 2, 0, 0, 0, 0, 221456, 0
Timestamp, RnGetTDMAConfigConfirm, MessageId, MaxRequestDataSize, MaxResponseDataSize, Status
1457459041.116, RnGetTDMAConfigConfirm, 17, 10, 10, 0
Timestamp, RnGetTDMASlotmapConfirm, MessageId, NumSlots, Status
Timestamp, RnTDMASlot, SlotNumber, RequesterID, ResponderID, IntegrationIndex, CodeChannel, AntennaMode, SlotType, Flags, RequestedSlotDurationMicroSec, MinimumSlotDurationMicroSec
1457459041.116, RnGetTDMASlotmapConfirm, 18, 30, 0
1457459041.116, RnTDMASlot, 0, 150, 101, 8, 2, 0, 1, 6, 260000, 39083
1457459041.116, RnTDMASlot, 1, 150, 101, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 2, 150, 102, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 3, 150, 102, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 4, 150, 103, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 5, 150, 103, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 6, 150, 104, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 7, 150, 104, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 8, 150, 105, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 9, 150, 105, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 10, 150, 106, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 11, 150, 106, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 12, 150, 107, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 13, 150, 107, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 14, 150, 108, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 15, 150, 108, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 16, 150, 109, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 17, 150, 109, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 18, 150, 110, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 19, 150, 110, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 20, 150, 111, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 21, 150, 111, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 22, 150, 112, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 23, 150, 112, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 24, 150, 113, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 25, 150, 113, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 26, 150, 114, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 27, 150, 114, 6, 2, 0, 1, 6, 60000, 14481
1457459041.116, RnTDMASlot, 28, 150, 115, 8, 2, 0, 1, 6, 60000, 39083
1457459041.116, RnTDMASlot, 29, 150, 115, 6, 2, 0, 1, 6, 60000, 14481
Timestamp, RcmRangeInfo, MessageId, ResponderId, RangeStatus, ReqAntennaMode, RespAntennaMode, StopwatchTime, PrecisionRangeMm, CoarseRangeMm, FilteredRangeMm, PrecisionRangeErrEstMm, CoarseRangeErrEstMm, FilteredRangeErrEstMm, FilteredRangeVelocityMmPerSec, FilteredRangeVelocityMmPerSecErrEst, RangeMeasurementType, ReqLEDFlags, RespLEDFlags, Noise, Vpeak, CoarseTOFInBins, EmbeddedTimestamp, Reserved
1457459041.163, RcmRangeInfo, 7645, 110, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3093672, 0
1457459041.226, RcmRangeInfo, 7646, 111, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3093745, 0
1457459041.241, RcmRangeInfo, 7647, 111, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3093792, 0
1457459041.320, RcmRangeInfo, 7648, 112, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3093865, 0
1457459041.398, RcmRangeInfo, 7649, 112, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3093912, 0
1457459041.476, RcmRangeInfo, 7650, 113, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3093985, 0
1457459041.507, RcmRangeInfo, 7651, 113, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094032, 0
1457459041.601, RcmRangeInfo, 7652, 114, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094105, 0
1457459041.616, RcmRangeInfo, 7653, 114, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094152, 0
1457459041.695, RcmRangeInfo, 7654, 115, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094225, 0
1457459041.726, RcmRangeInfo, 7655, 115, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094272, 0
1457459041.820, RcmRangeInfo, 7656, 101, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094345, 0
1457459042.070, RcmRangeInfo, 7657, 101, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094592, 0
1457459042.148, RcmRangeInfo, 7658, 102, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094665, 0
1457459042.179, RcmRangeInfo, 7659, 102, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094712, 0
1457459042.288, RcmRangeInfo, 7660, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094785, 0
1457459042.304, RcmRangeInfo, 7661, 103, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094832, 0
1457459042.398, RcmRangeInfo, 7662, 104, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094905, 0
1457459042.413, RcmRangeInfo, 7663, 104, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3094952, 0
1457459042.476, RcmRangeInfo, 7664, 105, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3095025, 0
1457459042.554, RcmRangeInfo, 7665, 105, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3095072, 0
1457459042.632, RcmRangeInfo, 7666, 106, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3095145, 0
1457459042.679, RcmRangeInfo, 7667, 106, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3095192, 0
1457459042.757, RcmRangeInfo, 7668, 107, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3095265, 0
1457459042.788, RcmRangeInfo, 7669, 107, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3095312, 0
1457459042.882, RcmRangeInfo, 7670, 108, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3095385, 0
1457459042.913, RcmRangeInfo, 7671, 108, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3095432, 0
1457459042.991, RcmRangeInfo, 7672, 109, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3095505, 0
1457459043.007, RcmRangeInfo, 7673, 109, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 3095552, 0
